manager,security,ISIN,as_of,total_shares_held,percent_shares_held,filing_date,filing
Amansa,BALKRISHNA INDUSTRIES LTD.-$,INE787D01026,2019-12-31,3829804,1.98,2020-01-15,Threshold Routine
Amansa,Cyient Limited,INE136B01020,2018-03-31,7235341,6.43,2018-07-16,Threshold Routine
Amansa,Cyient Limited,INE136B01020,2018-06-30,7235341,6.41,2018-07-16,Threshold Routine
Amansa,Cyient Limited,INE136B01020,2018-09-30,7235341,6.4,2018-11-01,Threshold Routine
Amansa,Cyient Limited,INE136B01020,2018-12-31,7235341,6.4,2019-01-18,Threshold Routine
Amansa,Cyient Limited,INE136B01020,2019-03-31,7435341,6.69,2019-04-20,Threshold Routine
Amansa,Cyient Limited,INE136B01020,2019-06-30,7435341,6.76,2019-07-19,Threshold Routine
Amansa,Cyient Limited,INE136B01020,2019-09-30,7435341,6.76,2019-10-18,Threshold Routine
Amansa,Cyient Limited,INE136B01020,2019-12-31,7435341,6.76,2020-01-20,Threshold Routine
Amansa,MAHINDRA LIFESPACE DEVELOPERS LTD.,INE813A01018,2015-12-31,2505170,6.11,2016-01-22,Threshold Routine
Amansa,MAHINDRA LIFESPACE DEVELOPERS LTD.,INE813A01018,2016-06-30,2341170,5.71,2017-08-08,Threshold Routine
Amansa,MAHINDRA LIFESPACE DEVELOPERS LTD.,INE813A01018,2016-09-30,2341170,5.71,2017-08-11,Threshold Routine
Amansa,MAHINDRA LIFESPACE DEVELOPERS LTD.,INE813A01018,2016-12-31,2341170,5.71,2017-01-19,Threshold Routine
Amansa,RAMKRISHNA FORGINGS LTD.,INE399G01015,2017-09-30,2073770,6.36,2017-10-18,Threshold Routine
Amansa,RAMKRISHNA FORGINGS LTD.,INE399G01015,2017-12-31,2372440,7.28,2018-01-17,Threshold Routine
Amansa,Cyient Limited,INE136B01020,2017-12-31,7235341,6.43,2018-01-12,Threshold Routine
Amansa,RAMKRISHNA FORGINGS LTD.,INE399G01015,2018-03-31,2372440,7.28,2018-04-20,Threshold Routine
Amansa,RAMKRISHNA FORGINGS LTD.,INE399G01015,2018-09-30,2202258,6.76,2018-10-09,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2016-06-30,6232969,5.73,2016-08-08,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2016-09-30,6232969,5.73,2016-10-15,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2016-12-31,7004108,6.44,2017-01-15,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2017-03-31,7004108,6.44,2017-04-19,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2017-06-30,9433238,8.68,2017-07-14,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2017-09-30,9433238,8.68,2017-10-05,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2017-12-31,9433238,8.68,2018-01-08,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2018-03-31,9433238,8.68,2018-04-12,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2018-06-30,9433238,8.68,2018-07-25,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2018-09-30,9433238,8.68,2018-10-11,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2018-12-31,9433238,8.68,2019-01-15,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2019-03-31,9433238,8.68,2019-04-12,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2019-06-30,9433238,8.68,2019-07-12,Threshold Routine
Amansa,RAMKRISHNA FORGINGS LTD.,INE399G01015,2018-06-30,2256220,6.92,2018-07-14,Threshold Routine
Amansa,GATEWAY DISTRIPARKS LTD.,INE852F01015,2019-09-30,9433238,8.68,2019-10-17,Threshold Routine
Amansa,Cyient Limited,INE136B01020,2017-09-30,7235341,6.43,2017-10-16,Threshold Routine
Amansa,Cyient Limited,INE136B01020,2017-03-31,4155404,3.69,2017-04-19,Threshold Routine
Amansa,PI Industries Ltd,INE603J01030,2017-09-30,1451050,1.05,2017-10-10,Threshold Routine
Amansa,PI Industries Ltd,INE603J01030,2017-12-31,2509397,1.82,2018-01-20,Threshold Routine
Amansa,PI Industries Ltd,INE603J01030,2018-03-31,2509397,1.82,2018-04-19,Threshold Routine
Amansa,PI Industries Ltd,INE603J01030,2018-06-30,2509397,1.82,2018-07-19,Threshold Routine
