manager,security,ISIN,as_of,total_shares_held,percent_shares_held,filing_date,filing,Close,MKTValue,PriceReturn,beta,TotalMktValue,PWeight,SecReturn,WeightedBeta
Amansa,Tata Motors  Ltd - DVR,IN9155A01020,2018-06-30,14303747,2.81,2018-07-21,Threshold Routine,158.65,2269289461.55,-0.1344789961811238,1.511,80192742612.09998,2.8298,-0.003805,0.042758
Amansa,Tata Motors  Ltd - DVR,IN9155A01020,2017-09-30,8069750,1.59,2017-10-10,Threshold Routine,222.3,1793905425.0,-0.15571591340676005,1.511,72769210336.73,2.4652,-0.003839,0.037249
Amansa,Tata Motors  Ltd - DVR,IN9155A01020,2017-06-30,9000000,1.77,2017-07-21,Threshold Routine,263.3,2369700000.0,-0.06680843522948798,1.511,66574598226.750015,3.5595,-0.002378,0.053784
Amansa,Tata Motors  Ltd - DVR,IN9155A01020,2017-03-31,9603371,1.89,2017-04-17,Threshold Routine,282.15,2709591127.65,-0.05667001003009142,1.511,68536688477.80001,3.9535,-0.00224,0.059737
Amansa,Tata Motors  Ltd - DVR,IN9155A01020,2016-12-31,7300000,1.44,2017-01-20,Threshold Routine,299.1,2183430000.0,-0.1215859030837001,1.511,57086029330.9,3.8248,-0.00465,0.057793
Amansa,Tata Motors  Ltd - DVR,IN9155A01020,2016-09-30,7500000,1.47,2016-10-18,Threshold Routine,340.5,2553750000.0,0.16709511568123414,1.511,54540550070.11,4.6823,0.007824,0.07075
Amansa,Tejas Networks Ltd,INE010J01012,2017-09-30,2757650,3.07,2017-10-19,Threshold Routine,296.6,817918990.0,-0.019504132231404014,0.7211,72769210336.73,1.124,-0.000219,0.008105
Amansa,Tejas Networks Ltd,INE010J01012,2017-06-30,2757650,3.08,2017-07-20,Threshold Routine,302.5,834189125.0,0.1770428015564196,0.7211,66574598226.750015,1.253,0.002218,0.009035
Amansa,MINDTREE LTD.,INE018I01017,2018-06-30,5474409,3.34,2018-07-11,Threshold Routine,986.9,5402694242.1,0.2784506768573094,0.5832,80192742612.09998,6.7371,0.01876,0.039291
Amansa,MINDTREE LTD.,INE018I01017,2018-09-30,4552051,2.77,2018-10-10,Threshold Routine,1033.25,4703406695.75,0.04696524470564478,0.5832,75196168800.95,6.2548,0.002938,0.036478
Amansa,MINDTREE LTD.,INE018I01017,2018-12-31,4552051,2.77,2019-01-09,Threshold Routine,864.5,3935248089.5,-0.16331962255020593,0.5832,73182507867.82,5.3773,-0.008782,0.03136
Amansa,MINDTREE LTD.,INE018I01017,2019-03-31,4552051,2.77,2019-04-11,Threshold Routine,944.5,4299412169.5,0.0925390399074606,0.5832,92728415703.11998,4.6366,0.004291,0.027041
Amansa,MINDTREE LTD.,INE018I01017,2019-06-30,4110379,2.5,2019-07-13,Threshold Routine,927.4,3811965484.6,-0.0181048173636843,0.5832,89615047309.0,4.2537,-0.00077,0.024808
Amansa,MINDTREE LTD.,INE018I01017,2018-03-31,6731593,4.11,2018-04-14,Threshold Routine,771.95,5196453216.35,0.26053233180927626,0.5832,78533531664.87003,6.6169,0.017239,0.03859
Amansa,MINDTREE LTD.,INE018I01017,2017-12-31,7428287,4.53,2018-01-10,Threshold Routine,612.4,4549082958.8,0.3174142196407441,0.5832,79206812371.65999,5.7433,0.01823,0.033495
Amansa,MINDTREE LTD.,INE018I01017,2017-09-30,7428287,4.53,2017-10-20,Threshold Routine,464.85,3453039211.95,-0.12126654064272202,0.5832,72769210336.73,4.7452,-0.005754,0.027674
Amansa,MINDTREE LTD.,INE018I01017,2017-06-30,7600000,4.52,2017-07-14,Threshold Routine,529.0,4020400000.0,0.16789932663649343,0.5832,66574598226.750015,6.0389,0.010139,0.035219
Amansa,MINDTREE LTD.,INE018I01017,2017-03-31,7329305,4.36,2017-04-21,Threshold Routine,452.95,3319808699.75,-0.1316974983226301,0.5832,68536688477.80001,4.8438,-0.006379,0.028249
Amansa,MINDTREE LTD.,INE018I01017,2016-12-31,7234305,4.31,2017-01-06,Threshold Routine,521.65,3773775203.25,0.0819247122264859,0.5832,57086029330.9,6.6107,0.005416,0.038554
Amansa,MINDTREE LTD.,INE018I01017,2016-09-30,5872423,3.5,2016-10-07,Threshold Routine,482.15,2831388749.45,-0.2747988268030387,0.5832,54540550070.11,5.1913,-0.014266,0.030276
Amansa,MINDTREE LTD.,INE018I01017,2016-06-30,2425456,1.45,2016-07-07,Threshold Routine,664.85,1612564421.6,0.017757367011098202,0.5832,41975862162.92998,3.8416,0.000682,0.022404
