QuarterEnd,Manager,TotalMktValue,PortfolioReturn,PortfolioBeta,PortfolioReturnPercentage,MktReturn,rolling_6Months,BMExcessRt,alpha
2015-12-31,Amansa,24580360044.870003,0.0,0.7379,0.0,0.0,,0.0,0.0
2016-03-31,Amansa,2850678024.55,-0.11249600000000001,0.7408,-11.2496,-0.026229569952278653,-0.056248000000000006,-0.0863,-0.0931
2016-06-30,Amansa,41975862162.92998,0.15419200000000002,0.8662,15.4192,0.058880125106524295,0.020848000000000005,0.0953,0.1032
2016-09-30,Amansa,54540550070.11,0.15972399999999995,0.896,15.9724,0.04512525117826449,0.156958,0.1146,0.1193
2016-12-31,Amansa,57086029330.9,-0.064564,0.885,-6.4564,-0.06126358258619513,0.04757999999999997,-0.0033,-0.0103
2017-03-31,Amansa,68536688477.80001,0.17185999999999998,0.902,17.186,0.11758155876985255,0.05364799999999999,0.0543,0.0658
2017-06-30,Amansa,66574598226.750015,0.08955100000000002,0.9069,8.9551,0.025206304317303196,0.1307055,0.0643,0.0667
2017-09-30,Amansa,72769210336.73,0.056239000000000004,0.885,5.6239,0.04114948082578307,0.072895,0.0151,0.0198
2017-12-31,Amansa,79206812371.65999,0.191639,0.8716,19.1639,0.09258741644835866,0.12393899999999998,0.0991,0.1109
2018-03-31,Amansa,78533531664.87003,-0.048084,0.8464,-4.8084,-0.050753730808116626,0.07177749999999998,0.0027,-0.0051
2018-06-30,Amansa,80192742612.09998,-0.003082999999999998,0.8524,-0.3083,0.04485078965946143,-0.025583500000000023,-0.0479,-0.0413
2018-09-30,Amansa,75196168800.95,-0.019417000000000004,0.8198,-1.9417,0.03567511891289721,-0.011250000000000024,-0.0551,-0.0487
2018-12-31,Amansa,73182507867.82,-0.009373000000000001,0.8206,-0.9373,-0.01507918633069727,-0.014395000000000024,0.0057,0.003
2019-03-31,Amansa,92728415703.11998,0.06843500000000001,0.8088,6.8435,0.06595205174988616,0.02953099999999998,0.0025,0.0151
2019-06-30,Amansa,89615047309.0,0.05411200000000001,0.7967,5.4112,-0.0007293515746765733,0.06127349999999999,0.0548,0.0547
2019-09-30,Amansa,87464000333.09999,-0.040397,0.7865,-4.0397,-0.027590024653668666,0.006857499999999982,-0.0128,-0.0187
2019-12-31,Amansa,92145258393.49998,0.08975100000000001,0.7919,8.9751,0.06145650024264393,0.024676999999999984,0.0283,0.0411
2015-12-31,Elara India,20206868321.42,0.0,1.2939,0.0,0.0,0.044875499999999985,0.0,0.0
2016-03-31,Elara India,64092312.03,-0.26993900000000004,0.6449,-26.9939,-0.026229569952278653,-0.13496950000000005,-0.2437,-0.253
2016-06-30,Elara India,21441777930.640003,-0.06474099999999999,1.2721,-6.4741,0.058880125106524295,-0.16734000000000004,-0.1236,-0.1396
2016-09-30,Elara India,22381271762.14,0.12288399999999998,1.2435,12.2884,0.04512525117826449,0.029071499999999972,0.0778,0.0668
2016-12-31,Elara India,24097628289.1,0.108785,1.2045,10.8785,-0.06126358258619513,0.11583449999999998,0.17,0.1826
2017-03-31,Elara India,29295185024.25,0.24697099999999997,1.244,24.6971,0.11758155876985255,0.17787799999999998,0.1294,0.1007
2017-06-30,Elara India,32187579046.56,0.22108799999999998,1.2309,22.1088,0.025206304317303196,0.23402949999999995,0.1959,0.1901
2017-09-30,Elara India,65062492329.08,0.11312500000000002,0.8731,11.3125,0.04114948082578307,0.1671065,0.072,0.0772
2017-12-31,Elara India,54565017117.91999,0.09199199999999998,0.9219,9.1992,0.09258741644835866,0.10255849999999998,-0.0006,0.0066
2018-03-31,Elara India,46409749190.37,-0.13025199999999998,0.918,-13.0252,-0.050753730808116626,-0.019130000000000015,-0.0795,-0.0837
2018-06-30,Elara India,30890099248.089993,-0.19104199999999993,1.0239,-19.1042,0.04485078965946143,-0.16064699999999996,-0.2359,-0.237
2018-09-30,Elara India,28486657535.88,0.25162200000000007,1.232,25.1622,0.03567511891289721,0.030290000000000067,0.2159,0.2077
2018-12-31,Elara India,39325232557.03999,0.322185,1.2195,32.2185,-0.01507918633069727,0.28690350000000003,0.3373,0.3406
2019-03-31,Elara India,40141268015.21,0.043826,1.1949,4.3826,0.06595205174988616,0.18300550000000002,-0.0221,-0.035
2019-06-30,Elara India,43490968857.909996,0.09560500000000004,1.1857,9.5605,-0.0007293515746765733,0.06971550000000004,0.0963,0.0965
